feature,importance
mean_x_L_foot_1,0.0
mean_y_L_foot_1,0.0002890173410404984
mean_z_L_foot_1,-0.00033718689788050373
mean_x_L_foot_2,0.0003853564547206645
mean_y_L_foot_2,0.0003853564547206534
mean_z_L_foot_2,0.0
mean_x_L_foot_3,-9.633911368014391e-05
mean_y_L_foot_3,-0.00019267822736028782
mean_z_L_foot_3,0.0
mean_x_L_foot_4,-9.633911368014391e-05
mean_y_L_foot_4,1.1102230246251566e-17
mean_z_L_foot_4,0.0
mean_x_L_shank_1,4.816955684009416e-05
mean_y_L_shank_1,-0.0004335260115606476
mean_z_L_shank_1,0.0
mean_x_L_shank_2,0.0003371868978805703
mean_y_L_shank_2,0.00019267822736032114
mean_z_L_shank_2,0.0
mean_x_L_shank_3,-0.0003853564547205979
mean_y_L_shank_3,0.0
mean_z_L_shank_3,-9.633911368014391e-05
mean_x_L_shank_4,0.0
mean_y_L_shank_4,0.0
mean_z_L_shank_4,0.0
mean_x_L_thigh_1,0.0002890173410404984
mean_y_L_thigh_1,0.0
mean_z_L_thigh_1,0.0
mean_x_L_thigh_2,4.816955684008306e-05
mean_y_L_thigh_2,-0.0004816955684007196
mean_z_L_thigh_2,0.0
mean_x_L_thigh_3,-0.0002408477842003598
mean_y_L_thigh_3,0.0
mean_z_L_thigh_3,0.0
mean_x_L_thigh_4,0.0002890173410404984
mean_y_L_thigh_4,0.0
mean_z_L_thigh_4,0.0
mean_x_R_foot_1,-0.0004335260115606476
mean_y_R_foot_1,-0.00014450867052020477
mean_z_R_foot_1,0.0
mean_x_R_foot_2,-0.00033718689788050373
mean_y_R_foot_2,-4.816955684003865e-05
mean_z_R_foot_2,-0.00019267822736028782
mean_x_R_foot_3,-4.8169556840071956e-05
mean_y_R_foot_3,-0.0005780346820808968
mean_z_R_foot_3,-9.633911368014391e-05
mean_x_R_foot_4,0.0004335260115607475
mean_y_R_foot_4,0.0004816955684008195
mean_z_R_foot_4,0.0
mean_x_R_shank_1,1.1102230246251566e-17
mean_y_R_shank_1,-0.0004816955684007196
mean_z_R_shank_1,0.0
mean_x_R_shank_2,-0.0005780346820808858
mean_y_R_shank_2,9.633911368018832e-05
mean_z_R_shank_2,0.0
mean_x_R_shank_3,-0.00014450867052019368
mean_y_R_shank_3,0.0
mean_z_R_shank_3,-4.8169556840071956e-05
mean_x_R_shank_4,0.0
mean_y_R_shank_4,-0.00019267822736028782
mean_z_R_shank_4,0.0
mean_x_R_thigh_1,-0.00019267822736028782
mean_y_R_thigh_1,-9.633911368014391e-05
mean_z_R_thigh_1,0.0
mean_x_R_thigh_2,0.0
mean_y_R_thigh_2,-0.00038535645472057565
mean_z_R_thigh_2,0.0
mean_x_R_thigh_3,-0.00014450867052021588
mean_y_R_thigh_3,0.0
mean_z_R_thigh_3,0.0
mean_x_R_thigh_4,-4.8169556840071956e-05
mean_y_R_thigh_4,-0.0002408477842003598
mean_z_R_thigh_4,-4.8169556840071956e-05
mean_x_pelvis_1,0.00019267822736033225
mean_y_pelvis_1,-0.00028901734104043176
mean_z_pelvis_1,-0.0002408477842003598
mean_x_pelvis_2,3.3306690738754695e-17
mean_y_pelvis_2,-0.0004816955684007418
mean_z_pelvis_2,-0.00014450867052022697
mean_x_pelvis_3,0.0006743737957611185
mean_y_pelvis_3,0.0
mean_z_pelvis_3,-9.633911368014391e-05
mean_x_pelvis_4,0.0001445086705202714
mean_y_pelvis_4,0.0
mean_z_pelvis_4,0.0
std_x_L_foot_1,-9.633911368014391e-05
std_y_L_foot_1,-0.0002408477842003598
std_z_L_foot_1,0.0
std_x_L_foot_2,-0.00033718689788050373
std_y_L_foot_2,-0.00038535645472058676
std_z_L_foot_2,0.0
std_x_L_foot_3,0.0
std_y_L_foot_3,-0.0004816955684007418
std_z_L_foot_3,-0.0002408477842003598
std_x_L_foot_4,-9.633911368014391e-05
std_y_L_foot_4,-0.00014450867052020477
std_z_L_foot_4,0.0
std_x_L_shank_1,0.0
std_y_L_shank_1,2.2204460492503132e-17
std_z_L_shank_1,0.0
std_x_L_shank_2,0.0
std_y_L_shank_2,0.0
std_z_L_shank_2,0.0
std_x_L_shank_3,0.0
std_y_L_shank_3,-0.00019267822736026562
std_z_L_shank_3,-0.0004816955684007196
std_x_L_shank_4,-4.8169556840071956e-05
std_y_L_shank_4,-0.00019267822736027674
std_z_L_shank_4,-4.8169556840071956e-05
std_x_L_thigh_1,0.0
std_y_L_thigh_1,0.0
std_z_L_thigh_1,-0.00019267822736028782
std_x_L_thigh_2,0.0
std_y_L_thigh_2,0.0007225433526011904
std_z_L_thigh_2,-0.0002408477842003598
std_x_L_thigh_3,0.0
std_y_L_thigh_3,0.0
std_z_L_thigh_3,0.0
std_x_L_thigh_4,-0.00038535645472057565
std_y_L_thigh_4,-4.8169556840071956e-05
std_z_L_thigh_4,-0.000722543352601146
std_x_R_foot_1,-0.00014450867052021588
std_y_R_foot_1,0.0
std_z_R_foot_1,-0.00038535645472057565
std_x_R_foot_2,4.816955684008306e-05
std_y_R_foot_2,9.633911368016612e-05
std_z_R_foot_2,0.0
std_x_R_foot_3,0.0
std_y_R_foot_3,-0.0006262042389209799
std_z_R_foot_3,-0.00043352601156066984
std_x_R_foot_4,9.633911368016612e-05
std_y_R_foot_4,-0.0005298651252408137
std_z_R_foot_4,0.0
std_x_R_shank_1,-4.8169556840071956e-05
std_y_R_shank_1,0.00014450867052026028
std_z_R_shank_1,0.0
std_x_R_shank_2,-4.816955684004976e-05
std_y_R_shank_2,-0.00019267822736028782
std_z_R_shank_2,0.0
std_x_R_shank_3,-0.0004335260115606476
std_y_R_shank_3,-0.0004335260115606476
std_z_R_shank_3,-0.00038535645472057565
std_x_R_shank_4,-0.0004816955684007196
std_y_R_shank_4,-0.00019267822736026562
std_z_R_shank_4,0.0
std_x_R_thigh_1,4.816955684008306e-05
std_y_R_thigh_1,-0.0002408477842003598
std_z_R_thigh_1,-4.8169556840071956e-05
std_x_R_thigh_2,9.633911368016612e-05
std_y_R_thigh_2,0.0
std_z_R_thigh_2,-0.0002408477842003598
std_x_R_thigh_3,-0.0005298651252408137
std_y_R_thigh_3,4.816955684008306e-05
std_z_R_thigh_3,0.0
std_x_R_thigh_4,-0.0004335260115606476
std_y_R_thigh_4,0.0001445086705202492
std_z_R_thigh_4,-4.8169556840071956e-05
std_x_pelvis_1,-0.00019267822736027674
std_y_pelvis_1,0.0
std_z_pelvis_1,-0.00014450867052021588
std_x_pelvis_2,-0.0002890173410404429
std_y_pelvis_2,-9.633911368013281e-05
std_z_pelvis_2,0.0
std_x_pelvis_3,-0.00038535645472057565
std_y_pelvis_3,-4.816955684004976e-05
std_z_pelvis_3,9.633911368016612e-05
std_x_pelvis_4,-0.000674373795761063
std_y_pelvis_4,0.00019267822736033225
std_z_pelvis_4,-0.00014450867052021588
min_x_L_foot_1,0.0003853564547206645
min_y_L_foot_1,0.0003371868978805814
min_z_L_foot_1,0.0
min_x_L_foot_2,-4.8169556840071956e-05
min_y_L_foot_2,0.00043352601156072535
min_z_L_foot_2,0.0
min_x_L_foot_3,0.00019267822736035445
min_y_L_foot_3,-0.00028901734104043176
min_z_L_foot_3,-0.00014450867052021588
min_x_L_foot_4,-0.00014450867052021588
min_y_L_foot_4,-0.0002408477842003598
min_z_L_foot_4,-4.8169556840071956e-05
min_x_L_shank_1,0.00028901734104047616
min_y_L_shank_1,-0.0007225433526011349
min_z_L_shank_1,0.0
min_x_L_shank_2,0.0
min_y_L_shank_2,0.0003853564547206534
min_z_L_shank_2,-9.633911368014391e-05
min_x_L_shank_3,-0.00028901734104043176
min_y_L_shank_3,0.0002408477842004153
min_z_L_shank_3,0.0
min_x_L_shank_4,-0.00019267822736028782
min_y_L_shank_4,0.0
min_z_L_shank_4,-4.8169556840071956e-05
min_x_L_thigh_1,-0.00014450867052021588
min_y_L_thigh_1,-0.0004816955684007196
min_z_L_thigh_1,-0.0004816955684007307
min_x_L_thigh_2,-0.0007225433526011238
min_y_L_thigh_2,-0.000867052023121384
min_z_L_thigh_2,0.0
min_x_L_thigh_3,-9.633911368014391e-05
min_y_L_thigh_3,-0.0002408477842003598
min_z_L_thigh_3,-0.00033718689788050373
min_x_L_thigh_4,0.0
min_y_L_thigh_4,-0.0004816955684007196
min_z_L_thigh_4,-4.8169556840071956e-05
min_x_R_foot_1,-9.633911368014391e-05
min_y_R_foot_1,0.0003853564547206645
min_z_R_foot_1,-0.0002408477842003709
min_x_R_foot_2,-0.00038535645472057565
min_y_R_foot_2,0.0012524084778420374
min_z_R_foot_2,-0.0004816955684007307
min_x_R_foot_3,0.0
min_y_R_foot_3,4.816955684008306e-05
min_z_R_foot_3,0.0
min_x_R_foot_4,-0.00014450867052021588
min_y_R_foot_4,0.00019267822736033225
min_z_R_foot_4,-4.8169556840071956e-05
min_x_R_shank_1,0.0006262042389210354
min_y_R_shank_1,-0.0005780346820808858
min_z_R_shank_1,0.0
min_x_R_shank_2,-4.8169556840071956e-05
min_y_R_shank_2,0.00043352601156072535
min_z_R_shank_2,0.0
min_x_R_shank_3,-0.0002890173410404429
min_y_R_shank_3,-0.00014450867052021588
min_z_R_shank_3,-0.0003853564547205979
min_x_R_shank_4,4.816955684008306e-05
min_y_R_shank_4,0.0
min_z_R_shank_4,-0.0004335260115606476
min_x_R_thigh_1,0.0
min_y_R_thigh_1,0.0
min_z_R_thigh_1,0.0
min_x_R_thigh_2,-4.8169556840071956e-05
min_y_R_thigh_2,-0.00028901734104043176
min_z_R_thigh_2,-0.00014450867052021588
min_x_R_thigh_3,-9.633911368014391e-05
min_y_R_thigh_3,-0.00033718689788050373
min_z_R_thigh_3,-9.633911368014391e-05
min_x_R_thigh_4,-0.00014450867052021588
min_y_R_thigh_4,0.0
min_z_R_thigh_4,0.0
min_x_pelvis_1,0.0002408477842004375
min_y_pelvis_1,-0.00038535645472058676
min_z_pelvis_1,0.0
min_x_pelvis_2,0.0006262042389210354
min_y_pelvis_2,0.0
min_z_pelvis_2,0.0
min_x_pelvis_3,0.0
min_y_pelvis_3,0.0
min_z_pelvis_3,0.0
min_x_pelvis_4,-0.00028901734104043176
min_y_pelvis_4,-0.0005780346820809079
min_z_pelvis_4,0.0
max_x_L_foot_1,0.0003853564547206645
max_y_L_foot_1,0.0
max_z_L_foot_1,-4.8169556840071956e-05
max_x_L_foot_2,0.0006743737957610963
max_y_L_foot_2,-0.00024084778420034868
max_z_L_foot_2,-0.0002408477842003598
max_x_L_foot_3,-4.8169556840060856e-05
max_y_L_foot_3,-0.00038535645472057565
max_z_L_foot_3,0.0
max_x_L_foot_4,0.0003853564547206645
max_y_L_foot_4,-4.8169556840071956e-05
max_z_L_foot_4,0.0
max_x_L_shank_1,4.816955684008306e-05
max_y_L_shank_1,-0.00038535645472057565
max_z_L_shank_1,-0.0002408477842003598
max_x_L_shank_2,0.0003371868978805703
max_y_L_shank_2,3.3306690738754695e-17
max_z_L_shank_2,0.0
max_x_L_shank_3,-9.633911368013281e-05
max_y_L_shank_3,-0.0002408477842003598
max_z_L_shank_3,0.0
max_x_L_shank_4,0.00028901734104050945
max_y_L_shank_4,0.0
max_z_L_shank_4,0.0
max_x_L_thigh_1,0.0003853564547206645
max_y_L_thigh_1,-0.00028901734104043176
max_z_L_thigh_1,-0.00028901734104043176
max_x_L_thigh_2,-9.633911368014391e-05
max_y_L_thigh_2,0.0
max_z_L_thigh_2,-9.633911368014391e-05
max_x_L_thigh_3,0.0003853564547206645
max_y_L_thigh_3,0.0
max_z_L_thigh_3,-0.00014450867052021588
max_x_L_thigh_4,0.00019267822736033225
max_y_L_thigh_4,0.0
max_z_L_thigh_4,-9.633911368014391e-05
max_x_R_foot_1,-0.0004816955684007196
max_y_R_foot_1,-0.00038535645472057565
max_z_R_foot_1,0.0
max_x_R_foot_2,0.0
max_y_R_foot_2,-0.00019267822736027674
max_z_R_foot_2,0.0
max_x_R_foot_3,-0.0005298651252408137
max_y_R_foot_3,-0.00043352601156065873
max_z_R_foot_3,-0.00014450867052021588
max_x_R_foot_4,0.0003853564547206645
max_y_R_foot_4,0.0
max_z_R_foot_4,-4.8169556840071956e-05
max_x_R_shank_1,0.0003371868978805814
max_y_R_shank_1,-0.0004816955684007196
max_z_R_shank_1,0.0
max_x_R_shank_2,-0.0004816955684007196
max_y_R_shank_2,-4.816955684004976e-05
max_z_R_shank_2,-0.00014450867052021588
max_x_R_shank_3,-0.00019267822736028782
max_y_R_shank_3,0.0
max_z_R_shank_3,0.0
max_x_R_shank_4,0.0004335260115607475
max_y_R_shank_4,0.0
max_z_R_shank_4,0.0
max_x_R_thigh_1,0.0
max_y_R_thigh_1,0.0
max_z_R_thigh_1,0.0
max_x_R_thigh_2,0.0004335260115607475
max_y_R_thigh_2,0.0
max_z_R_thigh_2,-0.00028901734104043176
max_x_R_thigh_3,9.633911368016612e-05
max_y_R_thigh_3,-0.0003371868978805148
max_z_R_thigh_3,0.0
max_x_R_thigh_4,-4.8169556840071956e-05
max_y_R_thigh_4,-0.00038535645472057565
max_z_R_thigh_4,0.0
max_x_pelvis_1,0.00038535645472063116
max_y_pelvis_1,0.0
max_z_pelvis_1,0.0
max_x_pelvis_2,0.0005780346820809523
max_y_pelvis_2,0.0
max_z_pelvis_2,0.0
max_x_pelvis_3,0.0004816955684007973
max_y_pelvis_3,0.0002890173410404984
max_z_pelvis_3,0.0
max_x_pelvis_4,0.00038535645472064227
max_y_pelvis_4,0.0
max_z_pelvis_4,0.0
dmean_x_L_foot_1,-0.0002408477842003598
dmean_y_L_foot_1,-9.633911368014391e-05
dmean_z_L_foot_1,-9.633911368013281e-05
dmean_x_L_foot_2,-0.0006743737957610518
dmean_y_L_foot_2,4.816955684008306e-05
dmean_z_L_foot_2,-4.8169556840071956e-05
dmean_x_L_foot_3,-0.00028901734104043176
dmean_y_L_foot_3,-0.0004335260115606476
dmean_z_L_foot_3,0.0
dmean_x_L_foot_4,0.0
dmean_y_L_foot_4,-0.0005780346820808858
dmean_z_L_foot_4,-0.00014450867052021588
dmean_x_L_shank_1,9.633911368016612e-05
dmean_y_L_shank_1,1.1102230246251566e-17
dmean_z_L_shank_1,0.0
dmean_x_L_shank_2,0.0
dmean_y_L_shank_2,0.0
dmean_z_L_shank_2,-0.00019267822736028782
dmean_x_L_shank_3,-0.00038535645472057565
dmean_y_L_shank_3,-0.0004335260115606476
dmean_z_L_shank_3,-0.00019267822736028782
dmean_x_L_shank_4,-0.00038535645472057565
dmean_y_L_shank_4,-4.8169556840071956e-05
dmean_z_L_shank_4,4.816955684008306e-05
dmean_x_L_thigh_1,-0.000770712909441218
dmean_y_L_thigh_1,-9.633911368014391e-05
dmean_z_L_thigh_1,0.0
dmean_x_L_thigh_2,-0.000770712909441218
dmean_y_L_thigh_2,-0.0004816955684007307
dmean_z_L_thigh_2,-9.633911368014391e-05
dmean_x_L_thigh_3,-0.0008188824662813011
dmean_y_L_thigh_3,0.0
dmean_z_L_thigh_3,-9.633911368014391e-05
dmean_x_L_thigh_4,-0.00038535645472057565
dmean_y_L_thigh_4,-0.0004816955684007196
dmean_z_L_thigh_4,-0.00038535645472057565
dmean_x_R_foot_1,0.0
dmean_y_R_foot_1,0.0
dmean_z_R_foot_1,4.816955684008306e-05
dmean_x_R_foot_2,-0.0002408477842003598
dmean_y_R_foot_2,-4.8169556840071956e-05
dmean_z_R_foot_2,-0.0002890173410404429
dmean_x_R_foot_3,0.0
dmean_y_R_foot_3,0.0
dmean_z_R_foot_3,-0.00028901734104043176
dmean_x_R_foot_4,-0.0004816955684007196
dmean_y_R_foot_4,-0.0003853564547205979
dmean_z_R_foot_4,0.00019267822736033225
dmean_x_R_shank_1,-0.00028901734104043176
dmean_y_R_shank_1,-0.00019267822736028782
dmean_z_R_shank_1,-0.00048169556840075287
dmean_x_R_shank_2,0.0
dmean_y_R_shank_2,0.0
dmean_z_R_shank_2,-4.8169556840071956e-05
dmean_x_R_shank_3,0.0
dmean_y_R_shank_3,4.816955684008306e-05
dmean_z_R_shank_3,2.2204460492503132e-17
dmean_x_R_shank_4,-0.00024084778420034868
dmean_y_R_shank_4,-4.8169556840071956e-05
dmean_z_R_shank_4,9.633911368016612e-05
dmean_x_R_thigh_1,-0.000867052023121384
dmean_y_R_thigh_1,0.0
dmean_z_R_thigh_1,0.0
dmean_x_R_thigh_2,-0.00033718689788050373
dmean_y_R_thigh_2,0.00019267822736033225
dmean_z_R_thigh_2,0.0
dmean_x_R_thigh_3,-0.000867052023121384
dmean_y_R_thigh_3,-0.00014450867052021588
dmean_z_R_thigh_3,-0.00028901734104043176
dmean_x_R_thigh_4,-0.00038535645472057565
dmean_y_R_thigh_4,-0.00014450867052021588
dmean_z_R_thigh_4,0.0
dmean_x_pelvis_1,-0.00033718689788050373
dmean_y_pelvis_1,-0.00019267822736028782
dmean_z_pelvis_1,-0.00028901734104043176
dmean_x_pelvis_2,-0.00014450867052021588
dmean_y_pelvis_2,4.816955684009416e-05
dmean_z_pelvis_2,4.816955684008306e-05
dmean_x_pelvis_3,0.0
dmean_y_pelvis_3,-0.00028901734104042065
dmean_z_pelvis_3,-0.0004816955684007196
dmean_x_pelvis_4,-0.00038535645472057565
dmean_y_pelvis_4,-0.00048169556840075287
dmean_z_pelvis_4,4.816955684008306e-05
dstd_x_L_foot_1,4.816955684008306e-05
dstd_y_L_foot_1,-0.00028901734104043176
dstd_z_L_foot_1,2.2204460492503132e-17
dstd_x_L_foot_2,0.0
dstd_y_L_foot_2,0.00019267822736034334
dstd_z_L_foot_2,0.0001445086705202492
dstd_x_L_foot_3,-0.00028901734104043176
dstd_y_L_foot_3,-0.00043352601156068096
dstd_z_L_foot_3,3.3306690738754695e-17
dstd_x_L_foot_4,4.816955684008306e-05
dstd_y_L_foot_4,0.0
dstd_z_L_foot_4,9.633911368016612e-05
dstd_x_L_shank_1,-0.0006262042389209799
dstd_y_L_shank_1,0.0007707129094412623
dstd_z_L_shank_1,-9.633911368013281e-05
dstd_x_L_shank_2,0.0
dstd_y_L_shank_2,-0.00028901734104043176
dstd_z_L_shank_2,-0.00014450867052020477
dstd_x_L_shank_3,0.0
dstd_y_L_shank_3,-0.0002408477842003598
dstd_z_L_shank_3,-0.00014450867052021588
dstd_x_L_shank_4,0.0
dstd_y_L_shank_4,-9.633911368014391e-05
dstd_z_L_shank_4,0.0
dstd_x_L_thigh_1,-4.8169556840060856e-05
dstd_y_L_thigh_1,-0.00043352601156066984
dstd_z_L_thigh_1,-0.00019267822736028782
dstd_x_L_thigh_2,0.0
dstd_y_L_thigh_2,-0.0002408477842003598
dstd_z_L_thigh_2,0.0001445086705202492
dstd_x_L_thigh_3,0.0002408477842004153
dstd_y_L_thigh_3,4.816955684008306e-05
dstd_z_L_thigh_3,1.1102230246251566e-17
dstd_x_L_thigh_4,-0.00014450867052020477
dstd_y_L_thigh_4,-0.0004816955684007418
dstd_z_L_thigh_4,-9.633911368014391e-05
dstd_x_R_foot_1,0.0
dstd_y_R_foot_1,-0.00019267822736027674
dstd_z_R_foot_1,9.633911368019942e-05
dstd_x_R_foot_2,-0.00033718689788050373
dstd_y_R_foot_2,-0.00028901734104043176
dstd_z_R_foot_2,0.0001445086705202492
dstd_x_R_foot_3,-0.00019267822736028782
dstd_y_R_foot_3,-0.000385356454720609
dstd_z_R_foot_3,0.0002408477842004153
dstd_x_R_foot_4,-0.0005298651252408249
dstd_y_R_foot_4,-4.8169556840071956e-05
dstd_z_R_foot_4,-0.0003371868978805148
dstd_x_R_shank_1,0.0
dstd_y_R_shank_1,0.0
dstd_z_R_shank_1,-4.8169556840071956e-05
dstd_x_R_shank_2,-0.00019267822736028782
dstd_y_R_shank_2,-0.00014450867052021588
dstd_z_R_shank_2,-0.0004816955684007196
dstd_x_R_shank_3,2.2204460492503132e-17
dstd_y_R_shank_3,-0.00043352601156068096
dstd_z_R_shank_3,-0.0002408477842003598
dstd_x_R_shank_4,-0.00019267822736028782
dstd_y_R_shank_4,-0.0005780346820809079
dstd_z_R_shank_4,-9.633911368014391e-05
dstd_x_R_thigh_1,-0.0006743737957610518
dstd_y_R_thigh_1,-0.0004816955684007196
dstd_z_R_thigh_1,0.0001445086705202492
dstd_x_R_thigh_2,0.0
dstd_y_R_thigh_2,0.0
dstd_z_R_thigh_2,-0.00014450867052021588
dstd_x_R_thigh_3,-0.0008188824662813011
dstd_y_R_thigh_3,0.0
dstd_z_R_thigh_3,0.0
dstd_x_R_thigh_4,-0.0007225433526011349
dstd_y_R_thigh_4,-0.0008188824662812788
dstd_z_R_thigh_4,0.0
dstd_x_pelvis_1,-0.00019267822736027674
dstd_y_pelvis_1,-0.0005298651252408137
dstd_z_pelvis_1,-0.0002408477842003598
dstd_x_pelvis_2,1.1102230246251566e-17
dstd_y_pelvis_2,0.0002408477842004153
dstd_z_pelvis_2,-0.00019267822736028782
dstd_x_pelvis_3,-0.00014450867052020477
dstd_y_pelvis_3,4.816955684009416e-05
dstd_z_pelvis_3,-4.8169556840071956e-05
dstd_x_pelvis_4,-0.00028901734104043176
dstd_y_pelvis_4,4.816955684009416e-05
dstd_z_pelvis_4,-0.00014450867052020477
